,product_id,product_name,category,reorder_level,unit_price,inventory_id,last_updated,warehouse_id,stock_status,days_since_update,stock_value,total_current_stock,avg_order_size,movement_category,orders_per_month,last_order_date,days_since_last_order,supplier_id,supplier_name,location_name,quantity_available,stock_level_numeric,movement_score,current_month,current_quarter,needs_reorder
0,P00001,Middle0,Electronics,72,230.19,INVP00001W000,2025-02-26,W000,ADEQUATE,148,62841.870666503906,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"Robertmouth",273.0,4,4,7,3,0
1,P00001,Middle0,Electronics,72,230.19,INVP00001W001,2025-05-21,W001,ADEQUATE,64,108419.49114990234,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"Port Ryanshire",471.0,4,4,7,3,0
2,P00001,Middle0,Electronics,72,230.19,INVP00001W002,2025-04-10,W002,REORDER_NEEDED,105,2762.280029296875,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"Stephaniehaven",12.0,2,4,7,3,1
3,P00001,Middle0,Electronics,72,230.19,INVP00001W003,2025-07-13,W003,LOW_STOCK,11,21637.860229492188,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"Port Gregory",94.0,3,4,7,3,0
4,P00001,Middle0,Electronics,72,230.19,INVP00001W004,2025-01-06,W004,ADEQUATE,199,88853.34094238281,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"Hillstad",386.0,4,4,7,3,0
5,P00001,Middle0,Electronics,72,230.19,INVP00001W005,2025-01-10,W005,ADEQUATE,195,42124.770446777344,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"South Nicholasport",183.0,4,4,7,3,0
6,P00001,Middle0,Electronics,72,230.19,INVP00001W006,2025-05-20,W006,ADEQUATE,65,84709.9208984375,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"New Robin",368.0,4,4,7,3,0
7,P00001,Middle0,Electronics,72,230.19,INVP00001W007,2025-01-08,W007,REORDER_NEEDED,197,8977.410095214844,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"Kurtbury",39.0,2,4,7,3,1
8,P00001,Middle0,Electronics,72,230.19,INVP00001W008,2025-04-01,W008,ADEQUATE,114,83098.59088134766,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"North Davidton",361.0,4,4,7,3,0
9,P00001,Middle0,Electronics,72,230.19,INVP00001W009,2025-05-18,W009,ADEQUATE,67,81257.0708618164,55880.0,61.6364,FAST_MOVING,73.33,2025-07-19,5,,,"Marystad",353.0,4,4,7,3,0
10,P00002,Pressure1,Electronics,137,467.87,INVP00002W000,2025-02-01,W000,ADEQUATE,173,153929.2283935547,67676.0,47.3571,FAST_MOVING,93.33,2025-07-19,5,,,"Robertmouth",329.0,4,4,7,3,0
11,P00002,Pressure1,Electronics,137,467.87,INVP00002W001,2025-06-22,W001,ADEQUATE,32,230192.03759765625,67676.0,47.3571,FAST_MOVING,93.33,2025-07-19,5,,,"Port Ryanshire",492.0,4,4,7,3,0
12,P00002,Pressure1,Electronics,137,467.87,INVP00002W002,2025-06-17,W002,REORDER_NEEDED,37,26200.7197265625,67676.0,47.3571,FAST_MOVING,93.33,2025-07-19,5,,,"Stephaniehaven",56.0,2,4,7,3,1
13,P00002,Pressure1,Electronics,137,467.87,INVP00002W003,2025-02-15,W003,LOW_STOCK,159,74391.32922363281,67676.0,47.3571,FAST_MOVING,93.33,2025-07-19,5,,,"Port Gregory",159.0,3,4,7,3,0
